Name main company,Name dessigner company,Distance,Latitude,Longitude
Wetpaint,BrushCapades Seattle,342,47.601189,-122.329803
Digg,Public Design,411,37.76603,-122.39905
Facebook,No results,No results,No results,No results
Geni,No results,No results,No results,No results
Twitter,Mule Design,410,37.77497,-122.412909
StumbleUpon,Mm Clay,349,37.773291,-122.422487
Gizmoz,No results,No results,No results,No results
Scribd,17Feet,98,37.789907,-122.405117
Slacker,No results,No results,No results,No results
Lala,No results,No results,No results,No results
eBay,No results,No results,No results,No results
MeetMoi,Pulsar Studio,342,40.759498,-73.988855
Joost,No results,No results,No results,No results
Babelgum,No results,No results,No results,No results
Plaxo,No results,No results,No results,No results
Cisco,No results,No results,No results,No results
Yahoo!,No results,No results,No results,No results
Powerset,Butchershop Creative,222,37.779264,-122.393019
Technorati,Butchershop Creative,32,37.779264,-122.393019
AddThis,No results,No results,No results,No results
OpenX,No results,No results,No results,No results
Mahalo,No results,No results,No results,No results
Kyte,Fashion Incubator San Francisco,346,37.786925,-122.405658
Veoh,No results,No results,No results,No results
Thoof,AT&T — Consumer Digital Experiences,429,30.271838,-97.742553
Jingle Networks,No results,No results,No results,No results
Info,Picture Us Galleries,262,41.885418,-87.625609
JotSpot,No results,No results,No results,No results
Meetup,Kounterattack Design,23,40.726187,-73.995668
Mercora,No results,No results,No results,No results
LifeLock,No results,No results,No results,No results
Wesabe,Gravitytank,148,37.792168,-122.401594
Jangl SMS,No results,No results,No results,No results
Prosper,17Feet,231,37.789907,-122.405117
Google,No results,No results,No results,No results
Jajah,No results,No results,No results,No results
Skype,No results,No results,No results,No results
YouTube,No results,No results,No results,No results
blogTV,No results,No results,No results,No results
Livestream,Kounterattack Design,10,40.726187,-73.995668
Ustream,No results,No results,No results,No results
AdaptiveBlue,No results,No results,No results,No results
Pando Networks,Any_ Design Agency,18,40.722704,-73.998805
GrandCentral,No results,No results,No results,No results
Topix,No results,No results,No results,No results
Jobster,No results,No results,No results,No results
Revision3,No results,No results,No results,No results
Spock,No results,No results,No results,No results
Wize,No results,No results,No results,No results
SodaHead,No results,No results,No results,No results
CastTV,Studio San Francisco - Ubisoft,53,37.780609,-122.393385
iSkoot,No results,No results,No results,No results
EQO,Villa Beau Interiors,45,49.263985,-123.138731
SellABand,No results,No results,No results,No results
Funny Or Die,No results,No results,No results,No results
MeeVee,No results,No results,No results,No results
Mashery,Fashion Incubator San Francisco,178,37.786925,-122.405658
Zlio,No results,No results,No results,No results
Yelp,Fashion Incubator San Francisco,326,37.786925,-122.405658
Yapta,BrushCapades Seattle,361,47.601189,-122.329803
Wakoopa,Ontwerpbureau Stijlbende,83,52.374899,4.89571
Coghead,No results,No results,No results,No results
SideStep,No results,No results,No results,No results
Farecast,No results,No results,No results,No results
KickApps,Jaya Apparel Group,243,40.752641,-73.987014
RockYou,No results,No results,No results,No results
Pageflakes,No results,No results,No results,No results
Netvibes,H2 Impression,148,48.870645,2.344785
Swivel,No results,No results,No results,No results
Slide,Studio San Francisco - Ubisoft,129,37.780609,-122.393385
Bebo,Noa Design Build,451,37.780537,-122.396464
PlaceBlogger,No results,No results,No results,No results
WeFi,No results,No results,No results,No results
FeedBurner,The Mill Chicago,163,41.890172,-87.63006
TheFind,No results,No results,No results,No results
TVtrip,No results,No results,No results,No results
Zazzle,No results,No results,No results,No results
Dogster,Public Design,403,37.76603,-122.39905
Sway,No results,No results,No results,No results
adBrite,No results,No results,No results,No results
Loomia,Designit,378,37.794694,-122.401026
Meebo,No results,No results,No results,No results
Eventbrite,Butchershop Creative,193,37.779264,-122.393019
Newsvine,No results,No results,No results,No results
LinkedIn,No results,No results,No results,No results
FlickIM,No results,No results,No results,No results
Terabitz,No results,No results,No results,No results
Box,No results,No results,No results,No results
iLike,Civilization,20,47.615352,-122.323725
Carbonite,No results,No results,No results,No results
Conduit,No results,No results,No results,No results
Edgeio,No results,No results,No results,No results
Kaboodle,No results,No results,No results,No results
GigaOM,Mm Clay,349,37.773291,-122.422487
Redfin,BrushCapades Seattle,342,47.601189,-122.329803
Wink,No results,No results,No results,No results
coComment,No results,No results,No results,No results
Seesmic,Mm Clay,349,37.773291,-122.422487
Hotelicopter,No results,No results,No results,No results
Zvents,No results,No results,No results,No results
Eventful,No results,No results,No results,No results
Oodle,No results,No results,No results,No results
oDesk,No results,No results,No results,No results
Simply Hired,No results,No results,No results,No results
ooma,No results,No results,No results,No results
Scripps Networks Interactive,No results,No results,No results,No results
GoingOn,Studio San Francisco - Ubisoft,200,37.780609,-122.393385
Flixster,Ann Sacks Gallery,315,37.769243,-122.404472
Piczo,Designit,257,37.794694,-122.401026
Spreadshirt,This Is Red,107,No results,No results
Socialtext,No results,No results,No results,No results
Bazaarvoice,No results,No results,No results,No results
spigit,No results,No results,No results,No results
PowerReviews,No results,No results,37.779264,-122.393019
hi5,Butchershop Creative,32,37.792168,-122.401594
Tagged,Gravitytank,394,37.773291,-122.422487
ScanScout,Mm Clay,399,No results,No results
Indeed,No results,No results,No results,No results
Jaxtr,No results,No results,No results,No results
NetSuite,No results,No results,No results,No results
introNetworks,No results,No results,34.420357,-119.643153
Going,Letter Perfect Stationery,137,No results,No results
Respectance,No results,No results,No results,No results
Curse,No results,No results,37.786925,-122.405658
eBuddy,Fashion Incubator San Francisco,514,52.361933,4.891881
Grockit,Strauzz. Design Studio,218,37.773291,-122.422487
PeerMe,Mm Clay,349,No results,No results
Kiptronic,No results,No results,37.792168,-122.401594
CollegeWikis,Gravitytank,84,No results,No results
Vuze,No results,No results,No results,No results
Phonezoo,No results,No results,No results,No results
Wishpot,No results,No results,No results,No results
PodTech,No results,No results,No results,No results
NowPublic,No results,No results,No results,No results
PayScale,No results,No results,47.601189,-122.329803
Crackle,BrushCapades Seattle,203,34.016612,-118.400872
Hotswap,Sony Studios - Sign Shop,122,No results,No results
Lotame,No results,No results,No results,No results
Rebtel,No results,No results,No results,No results
Amazon,No results,No results,No results,No results
BuddyTV,No results,No results,No results,No results
Retrevo,No results,No results,No results,No results
SplashCast,No results,No results,No results,No results
Brightcove,No results,No results,No results,No results
Hightail,No results,No results,No results,No results
Nimbuzz,No results,No results,No results,No results
Tangler,No results,No results,No results,No results
obopay,No results,No results,No results,No results
PayPal,No results,No results,No results,No results
TalkPlus,No results,No results,No results,No results
PermissionTV,No results,No results,No results,No results
Rocketboom,No results,No results,No results,No results
AOL,No results,No results,40.733025,-73.990174
Snapfish,The Working Assembly,265,No results,No results
IMVU,No results,No results,No results,No results
Techstars,No results,No results,No results,No results
Nirvanix,No results,No results,No results,No results
Scrybe,No results,No results,No results,No results
Aniboom,No results,No results,No results,No results
Viagogo,No results,No results,No results,No results
KnockaTV,No results,No results,No results,No results
Echo,No results,No results,No results,No results
GreatCall,No results,No results,No results,No results
SelectMinds,No results,No results,40.740738,-73.992224
Revver,Italia Design Studios,182,No results,No results
Metacafe,No results,No results,No results,No results
ChaCha,No results,No results,No results,No results
Flock,No results,No results,No results,No results
Kontera,No results,No results,No results,No results
Sportingo,No results,No results,No results,No results
Dropbox,No results,No results,37.789907,-122.405117
TokBox,17Feet,320,37.779264,-122.393019
Sampa,Butchershop Creative,193,No results,No results
